Time	ethyne Concentration Relative to CO	ethene Concentration Relative to CO	ethane Concentration Relative to CO
775.078	5.6107402110294415e-11	2.772652318107217e-10	3.343986081112744e-10
780.25	2.05195204614703e-11	9.674744086657532e-11	1.1373846275966065e-10
785.375	5.855234692434654e-12	2.999983152315352e-11	3.780174447205565e-11
790.609	2.0110952108979186e-12	1.0971789227016453e-11	1.3688923877201961e-11
796.031	1.2381448412322456e-12	5.093418911702479e-12	4.811560345418897e-12
801.437	5.811599152668054e-13	3.6378940759715974e-12	4.8958366279628215e-12
806.844	5.915538320028004e-13	4.075077135697094e-12	5.8055690133780786e-12
812.25	6.975490256655166e-13	5.42769767306183e-12	7.965740608137227e-12
817.656	3.4583696002747963e-13	2.6953738226751183e-12	4.105720162348919e-12
823.062	5.521292878680312e-13	4.853282422274004e-12	7.432902544589013e-12
828.484	2.4337876203421327e-13	1.900868742796986e-12	2.8968682695401925e-12
833.891	4.1688240851254906e-13	3.71356926973516e-12	5.644512092492919e-12
839.297	2.5681957971011243e-13	1.388532647684795e-12	1.8621493625130658e-12
844.703	6.464146024580621e-13	5.495126015917609e-12	8.333048828018256e-12
850.109	3.44651734776074e-13	2.8451545107121667e-12	4.305919042191874e-12
855.531	2.2495865068765817e-13	1.6939160490002515e-12	2.512656026022323e-12
860.937	1.6789152417208677e-13	9.436932401671553e-13	1.2682521221481335e-12
866.328	3.135279834123858e-13	2.450673211942302e-12	3.715416179778592e-12
871.734	2.993621183068377e-13	1.98248348781633e-12	2.934534741310739e-12
877.156	3.894970816314165e-13	2.993404716835682e-12	4.443086252671415e-12
882.562	7.641377245968203e-13	6.209082627143785e-12	9.251972317165712e-12
887.969	5.683048123812773e-13	4.744770649945639e-12	7.144784800735223e-12
893.375	4.903470073859665e-13	3.829093837438698e-12	5.753596581295075e-12
898.781	7.110636203705143e-13	6.119036529430202e-12	9.290538789655425e-12
904.187	7.462488666794931e-13	6.6687314801102e-12	1.0136909397691133e-11
909.594	2.079911601152531e-09	1.1585389255078848e-08	1.4760805574807817e-08
915.0	2.052814145541372e-08	1.0263024701775084e-07	1.251944133758726e-07
920.406	9.95762331901517e-09	5.002177634513818e-08	6.121249594064682e-08
925.297	1.1225777546042752e-08	5.690348055648972e-08	7.022720888156238e-08
929.594	4.670784491745934e-09	2.1591156089053085e-08	2.5203160186289606e-08
933.875	1.161953902702509e-08	5.927981180375124e-08	7.300756983072173e-08
938.297	1.1481031010946518e-08	5.672895906498583e-08	6.895752458966963e-08
942.734	6.669558175076928e-09	3.374383589722185e-08	4.159145102029412e-08
947.094	9.200910774574947e-09	4.5816049481136436e-08	5.5728024078517673e-08
951.594	4.044682917607497e-09	2.0003941571837315e-08	2.4167497533080338e-08
956.125	1.4866026798670028e-09	7.3595111203420925e-09	8.927614218728171e-09
960.844	5.46433605055913e-10	2.690128629528071e-09	3.247688037607457e-09
965.719	1.9084001899654867e-10	9.342274921179595e-10	1.1208294069170069e-09
970.687	6.671008022857175e-11	3.2786236329777726e-10	3.9676605056077133e-10
975.797	2.3581107761140597e-11	1.1486705280712622e-10	1.3924901370413685e-10
981.062	8.344385733205919e-12	4.138893455383842e-11	4.911306286663259e-11
986.391	2.4865420763837556e-12	1.1788864687817862e-11	1.2953676016997433e-11
991.734	1.045867373876962e-12	6.4851850342806435e-12	9.52316411470131e-12
997.156	5.874059729567925e-13	3.388022969868855e-12	4.468700937147724e-12
1002.56	2.72562440625908e-13	2.0177461528662226e-12	2.914578416325414e-12
1007.97	3.760931646272536e-13	2.058795372610261e-12	2.548165150402333e-12
1013.37	2.42252686525632e-13	1.4834801792798034e-12	1.9732165154461023e-12
1018.78	2.559856442613057e-13	2.085479954638005e-12	3.084791325192055e-12
1024.2	2.147683500283157e-13	1.267080528776465e-12	1.7733367848088652e-12
1029.61	2.2201342964361968e-13	1.8795103072874173e-12	2.83189887131124e-12
1035.02	1.9473703194742952e-13	1.1437720456241486e-12	1.5215554497979587e-12
1040.42	4.742059092416749e-13	4.2383930729745185e-12	6.462128240874094e-12
1045.83	5.209789007446017e-13	4.830631270492348e-12	7.386517925101692e-12
1051.23	3.1193781248303526e-13	2.719002562013321e-12	4.126340218501926e-12
1056.66	3.2347896486315793e-13	2.5768180264644534e-12	3.9055002257545596e-12
1062.06	2.2771941286300075e-13	1.142129758129695e-12	1.545741513504081e-12
1067.47	2.1129220016562912e-13	9.716940209580877e-13	1.307124381418945e-12
1072.87	3.666658829049497e-13	2.5363975414394252e-12	3.773716985985132e-12
