Time	ethyne Concentration(bar)	ethene Concentration(bar)	ethane Concentration(bar)
747.187	5.691175350728996e-05	0.003939153274142254	0.07466208640301775
751.547	1.9960591443801163e-05	0.0014984461428159544	0.027103336068947624
756.016	3.430856155703999e-05	0.00042158041550590584	0.00985135547020076
760.625	1.6716607568514583e-05	0.00013748192393622918	0.003577990369836749
765.266	7.488359662720528e-06	3.149491037394679e-05	0.0013311145287972328
770.078	3.1683181265520394e-06	1.0015769551808816e-05	0.0005283855411975763
775.078	6.1703200603009165e-06	-1.9534633384033257e-05	0.0002523827378591101
780.25	2.3260557180991746e-06	-1.653678631422952e-05	0.0001501249534956714
785.375	5.448276945621523e-06	-2.504390709274895e-05	0.00012918306483868474
790.609	4.979706940021094e-06	-2.7909805250042878e-05	0.0001154129608904388
796.031	4.491832389648908e-06	-2.613537617275971e-05	0.00010493767929911158
801.437	3.5622136336946388e-06	-2.3665278778465385e-05	0.00010003528028667583
806.844	4.525002937449753e-06	-2.789493148351762e-05	9.82296328445303e-05
812.25	4.6754483709384135e-06	-2.78483597493498e-05	9.594525313015015e-05
817.656	3.943993631714277e-06	-2.5043645951228562e-05	9.071318187536599e-05
823.062	4.356482681469231e-06	-2.5827002092387738e-05	9.10771350979635e-05
828.484	3.723287607638705e-06	-2.5118035681368236e-05	8.904626205751538e-05
833.891	3.4401958532138587e-06	-2.3321926749611746e-05	8.602000918898167e-05
839.297	3.9805285867779205e-06	-2.7549925145577805e-05	9.044848194304973e-05
844.703	3.034056897589725e-06	-2.457047160275617e-05	8.626744519869226e-05
850.109	3.533185138169439e-06	-2.4929719209146355e-05	8.477434158050898e-05
855.531	3.9116341125198445e-06	-2.6547001152157202e-05	8.641844000661293e-05
860.937	4.15298729863014e-06	-2.732015326967528e-05	8.678161370401177e-05
866.328	4.007446704555009e-06	-2.6024593500280717e-05	8.501003809611447e-05
871.734	3.587544756357163e-06	-2.56117035247335e-05	8.39141122574685e-05
877.156	3.688244470256192e-06	-2.4602887980473514e-05	8.186033257123176e-05
882.562	4.151626528649625e-06	-2.5061674468308328e-05	8.022277832224456e-05
887.969	3.763021295334147e-06	-2.554779645174806e-05	8.330101096861131e-05
893.375	3.1823585697366995e-06	-2.327737000013324e-05	7.917413957153124e-05
898.781	3.406403450503463e-06	-2.3884746632254866e-05	8.028492300507705e-05
904.187	3.4810892011594935e-06	-2.4898371236155563e-05	8.173085089607035e-05
909.594	3.7246215837107914e-06	-2.5206605999770966e-05	8.008179541317167e-05
915.0	-0.000192252385328198	-0.006656411287913403	0.03031124896848427
920.406	-0.0004823618435883223	-0.0017316407218348584	0.22669393063004376
925.297	-0.00012009079491333246	0.0020499795106193675	0.2978707913230943
929.594	-0.00015493406590234263	0.003558283087945285	0.3205637853030441
933.875	0.00011298201665611443	0.0010099659910765624	0.33444339270061263
938.297	8.324139996788057e-07	0.009893972651351104	0.22884690053277276
942.734	-0.00014471557792951678	0.005203225753789454	0.09144360116360586
947.094	2.672484106871716e-05	0.0017164455979910879	0.033168874020399294
951.594	3.5382953768252684e-05	0.00048251850909186646	0.01215793304806423
956.125	6.587869863906247e-06	0.00018600266856932604	0.0043345576533498865
960.844	1.2138684921246021e-05	3.599048718884492e-05	0.0015938258886558179
965.719	4.2155241565696674e-06	4.9545419377739685e-06	0.0006230461607349168
970.687	4.430860146761223e-06	-1.7049197679228617e-05	0.0002917271122987387
975.797	3.075908360887349e-06	-1.9274816920795915e-05	0.00017025330042415987
981.062	7.160869034358414e-06	-3.3986626323341704e-05	0.00014203061763142923
986.391	4.312812589407846e-06	-2.4997856712843538e-05	0.00011671105371971519
991.734	4.0675052813819395e-06	-2.4681043597339934e-05	0.00010634712510170309
997.156	4.532860080137733e-06	-2.685233843682851e-05	0.00010423217687261715
1002.56	4.187661600145579e-06	-2.65973494540031e-05	0.00010117160137842529
1007.97	4.436438812563293e-06	-2.7328581623855574e-05	9.696992881176551e-05
1013.37	3.891249045886356e-06	-2.5164764688674607e-05	9.300325652633056e-05
1018.78	4.0123226985543505e-06	-2.520963938995089e-05	8.966147920048327e-05
1024.2	3.840093941846632e-06	-2.6024028957823773e-05	8.97236935986494e-05
1029.61	3.955285243694754e-06	-2.6126919181246142e-05	8.897127981185936e-05
1035.02	4.074179699921753e-06	-2.6636711236425143e-05	8.764173166630961e-05
1040.42	3.608235186513158e-06	-2.5668479282542404e-05	8.619927149704734e-05
1045.83	4.037522773516257e-06	-2.742341144413143e-05	8.754977597164302e-05
1051.23	3.988225836351106e-06	-2.730185680003369e-05	8.58678871981499e-05
1056.66	3.6727510636659587e-06	-2.4247059671678985e-05	8.061671110153616e-05
1062.06	4.3748884180552235e-06	-2.668100003334182e-05	8.308347122477675e-05
1067.47	3.871437219692834e-06	-2.5540139912399235e-05	8.177987811047667e-05
1072.87	3.97882123665938e-06	-2.4710587263536617e-05	8.050006698919828e-05
1078.28	3.845204429169858e-06	-2.730650858653587e-05	8.358742064847143e-05
1083.7	4.416972323170982e-06	-2.6179864966620275e-05	8.061231084845476e-05
1089.11	2.7693650982346657e-06	-2.0010593603248004e-05	7.39067695511056e-05
