Mass,Acetylene,Ethylene,Ethane,Ethanol
12.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0
25.0,22.07729468599034,0.0,0.0,0.0
26.0,100.0,60.81967213114754,22.621359223300974,0.0
27.0,0.0,61.967213114754095,32.33009708737865,22.412241224122415
28.0,0.0,100.0,100.0,0.0
29.0,0.0,0.0,21.2621359223301,29.852985298529855
30.0,0.0,0.0,20.97087378640777,0.0
31.0,0.0,0.0,0.0,100.0
