Time	Acetylene Concentration Relative to CO	Ethylene Concentration Relative to CO	Ethane Concentration Relative to CO	Ethanol Concentration Relative to CO
747.187	3.5261433537852686e-10	9.750461891458389e-10	1.1563557963801565e-09	6.02855181556666e-10
751.547	2.398806522967466e-09	8.826330950192036e-09	1.2823170094500365e-08	6.508015898638704e-09
756.016	2.629683648349507e-09	9.644120698754938e-09	1.3862380282407108e-08	7.035213790719311e-09
760.625	9.510773266848337e-10	3.466192090195649e-09	4.887138452018228e-09	2.483313335923736e-09
765.266	3.452934420978136e-10	1.256033744290342e-09	1.7702504032259813e-09	9.013442901306787e-10
770.078	1.2515173838727527e-10	4.5552161781687207e-10	6.429216316331563e-10	3.286097133832925e-10
775.078	4.6463123241708767e-11	1.722846055774124e-10	2.3502602465057367e-10	1.2182518860996817e-10
780.25	2.173275650647376e-11	8.141936919828121e-11	9.205208935933158e-11	5.258045410147124e-11
785.375	1.461136925833788e-11	5.839213665191511e-11	5.378605126972636e-11	3.582035337974275e-11
790.609	1.392107396695964e-11	5.6109187293641366e-11	4.791979078470021e-11	3.354571502497671e-11
796.031	1.3802294932625747e-11	5.5631548780372705e-11	4.687719443410502e-11	3.312311391581662e-11
801.437	1.3660084196473536e-11	5.5132920827407874e-11	4.650305405800998e-11	3.28676948022842e-11
806.844	1.3685787482936784e-11	5.5242848387135426e-11	4.6637231970916515e-11	3.2946165902095526e-11
812.25	1.3761484832342428e-11	5.5578738425442646e-11	4.703841643030985e-11	3.3184367722663055e-11
817.656	1.3600221848716803e-11	5.4926640730959e-11	4.628218115766894e-11	3.2742560823907426e-11
823.062	1.3509365234066258e-11	5.457087689153016e-11	4.615879558179513e-11	3.258177590589177e-11
828.484	1.3573679502854674e-11	5.482344786460397e-11	4.6153414439540516e-11	3.266896955422181e-11
833.891	1.3542929797977197e-11	5.472878178286006e-11	4.616689757596447e-11	3.2645010507994116e-11
839.297	1.339479973915073e-11	5.4088063923225675e-11	4.5519606082597145e-11	3.2224984711447564e-11
844.703	1.3316266413306981e-11	5.381667157944125e-11	4.5575522449511574e-11	3.21506920885402e-11
850.109	1.3434624436593544e-11	5.428336828303606e-11	4.5732680621709274e-11	3.2360619017974196e-11
855.531	1.3384803911648888e-11	5.406647223065528e-11	4.5502658862267825e-11	3.221433593553963e-11
860.937	1.3389732300449226e-11	5.408246674412351e-11	4.549618184297251e-11	3.22176360695903e-11
866.328	1.3396981798893549e-11	5.412370637596709e-11	4.5579895844873925e-11	3.225845443213207e-11
871.734	1.3310108022401941e-11	5.377318348688127e-11	4.525851985580565e-11	3.204220421704753e-11
877.156	1.3324191976987905e-11	5.384675789208652e-11	4.5362271583957994e-11	3.209986898456944e-11
882.562	1.3209319977788718e-11	5.3418896528386436e-11	4.5291601702733266e-11	3.1931111270190484e-11
887.969	1.3318454360316479e-11	5.3832111306801096e-11	4.5495658220204254e-11	3.2134646600949374e-11
893.375	1.3247070532070965e-11	5.355163142073217e-11	4.516639486000639e-11	3.19429762846424e-11
898.781	1.3143793731223587e-11	5.3153315734085034e-11	4.507991740365834e-11	3.1778798721694415e-11
904.187	1.3281880019470275e-11	5.37155071773925e-11	4.5627628946350245e-11	3.2134464836012144e-11
909.594	1.595669963613645e-09	6.95077812900363e-09	1.0299577484955666e-08	5.4982214196508584e-09
915.0	1.6107988488217364e-08	5.947334051596268e-08	8.597393899787313e-08	4.365720523563118e-08
920.406	7.804504949985808e-09	2.8973172069690876e-08	4.205148130622531e-08	2.139090808024521e-08
925.297	8.774116169990546e-09	3.269091152098643e-08	4.820669221477281e-08	2.4503108509451843e-08
929.594	3.769646521367288e-09	1.2893506284659807e-08	1.7334659843103108e-08	8.771756055538816e-09
933.875	9.11606715718951e-09	3.495556657111437e-08	5.04565856283781e-08	2.613080936438006e-08
938.297	9.054871600083533e-09	3.292915981631006e-08	4.734765504710668e-08	2.401941316715897e-08
942.734	5.2378968471887825e-09	1.9641998158066473e-08	2.8646547667686796e-08	1.4695615816704168e-08
947.094	7.236225145045906e-09	2.6688984206753466e-08	3.8307044415634476e-08	1.9497043517879623e-08
951.594	3.1831241012560636e-09	1.1675750949399181e-08	1.660303091356372e-08	8.426129203313165e-09
956.125	1.1710531393611694e-09	4.283780203803998e-09	6.132790770807584e-09	3.1136529088950313e-09
960.844	4.3190438233199523e-10	1.5787023366695118e-09	2.2345652537577163e-09	1.1381923631844323e-09
965.719	1.5167313321999264e-10	5.538355598561755e-10	7.729998160164873e-10	3.945153765820017e-10
970.687	5.463729477446598e-11	1.9992408133605734e-10	2.7702996645463063e-10	1.4289882594644194e-10
975.797	2.3368907291738855e-11	8.761760157468787e-11	1.0689786226412741e-10	5.930182321653205e-11
981.062	1.5174219372255506e-11	6.020581031589146e-11	5.743952216696921e-11	3.6921090659305324e-11
986.391	1.3784634431551321e-11	5.5472922295084577e-11	4.7197546088449855e-11	3.3066567063966204e-11
991.734	1.3514121369513127e-11	5.450091589235554e-11	4.6287608493207996e-11	3.259239953693188e-11
997.156	1.3502227204826486e-11	5.4463303512406225e-11	4.5941282821141117e-11	3.246383635092882e-11
1002.56	1.338933626103049e-11	5.401908936870682e-11	4.552069751783093e-11	3.2190879510612735e-11
1007.97	1.3405799627994313e-11	5.410113237132941e-11	4.5562361578030615e-11	3.223265533884793e-11
1013.37	1.3380460840241772e-11	5.401830067751792e-11	4.547157532527057e-11	3.218244384411079e-11
1018.78	1.332765456419785e-11	5.382268433509256e-11	4.5323703099996756e-11	3.2074468933869844e-11
1024.2	1.3337061317817127e-11	5.385431607185775e-11	4.532205925295768e-11	3.208411705820154e-11
1029.61	1.3299464041293922e-11	5.3708426272069375e-11	4.5220637855788136e-11	3.20041770410595e-11
1035.02	1.3227233618832146e-11	5.3416962824116773e-11	4.494599352523583e-11	3.18218373395892e-11
1040.42	1.3185992988734752e-11	5.327523565997268e-11	4.500345501882436e-11	3.179227634534579e-11
1045.83	1.3285646370647241e-11	5.367999650126591e-11	4.540427275557599e-11	3.205049133835214e-11
1051.23	1.3162157704390689e-11	5.316912588862294e-11	4.4801057449899024e-11	3.169597372331013e-11
1056.66	1.3144606655979628e-11	5.312206758982011e-11	4.473461702512839e-11	3.166564826340509e-11
1062.06	1.3142793555219026e-11	5.309298261858818e-11	4.4660255946993836e-11	3.162892110974014e-11
1067.47	1.3097204216659466e-11	5.291397554632334e-11	4.450280225782717e-11	3.15212033502683e-11
1072.87	1.3056409285826968e-11	5.275904220599416e-11	4.4425505715376094e-11	3.1446353029101675e-11
1078.28	1.3097359104850607e-11	5.290917334032593e-11	4.458641584471052e-11	3.1543605368263964e-11
1083.7	1.3028294219345952e-11	5.2642989925132464e-11	4.434949651128758e-11	3.1381950787194224e-11
1089.11	1.308600323949898e-11	5.291045386697412e-11	4.457020584154145e-11	3.154574420449457e-11
