Time	Acetylene Concentration(bar)	Ethylene Concentration(bar)	Ethane Concentration(bar)	Ethanol Concentration(bar)
747.187	-6.649070341549322e-05	0.0026402365355380443	0.07798321811980104	-0.0013453643288025468
751.547	-2.637418078960899e-05	0.0010075590007849078	0.028356267182580826	-0.0005071319240615434
756.016	-2.1240712891610544e-05	5.1660502251412755e-06	0.011084927601112817	-0.000535154141696096
760.625	-4.1679183469693856e-05	-0.0002748310599102268	0.0048517327776395665	-0.0005627160601849975
765.266	-5.121004478934016e-05	-0.000375592143177578	0.002607751146031574	-0.0005676120402040584
770.078	-5.528047938075517e-05	-0.00039530326130742785	0.001802956967303688	-0.0005674230267644329
775.078	-5.264742221710132e-05	-0.0004220717777730739	0.001524545754758083	-0.0005673557904639581
780.25	-5.616108859998775e-05	-0.0004194160124702715	0.0014221141185722784	-0.0005671763305366467
785.375	-5.2243466631491417e-05	-0.00041952245753162297	0.0013769404943784471	-0.000556671686990803
790.609	-5.269097371819847e-05	-0.00042217361953041923	0.0013629799532873744	-0.0005566843824526015
796.031	-5.2889018813945384e-05	-0.0004188891267632094	0.0013473167766393935	-0.0005543130262222513
801.437	-5.3310937811270836e-05	-0.00041374120438751784	0.0013333371214149419	-0.0005501854620789637
806.844	-5.2571441746245386e-05	-0.00041844116363424827	0.0013340122452684367	-0.0005514344685619594
812.25	-5.277245570036015e-05	-0.00042075236252209225	0.0013391670746076027	-0.0005547467145451868
817.656	-5.281156645230829e-05	-0.0004139103177796592	0.0013205457045915771	-0.0005486869436707886
823.062	-5.204988181860512e-05	-0.0004119293262928854	0.001312432441249307	-0.0005449373851294421
828.484	-5.2922705183323925e-05	-0.0004133453743212044	0.0013168429302796065	-0.0005477825941520936
833.891	-5.306984152611852e-05	-0.000410989357905165	0.0013116508340457885	-0.000546756687359787
839.297	-5.193193658578503e-05	-0.0004102362954741029	0.0013013256146896623	-0.0005403284643957623
844.703	-5.249661608980391e-05	-0.0004055250338805585	0.0012909420635261407	-0.0005374641341636088
850.109	-5.254974659835827e-05	-0.00040938133471156413	0.0013006146934507613	-0.0005424501881295083
855.531	-5.198827524541755e-05	-0.0004093080129725329	0.0012973207148837618	-0.0005403055345477207
860.937	-5.1786259946557974e-05	-0.00041011815620687605	0.0012979943692280106	-0.0005404701500048956
866.328	-5.1957473316122465e-05	-0.0004092434860151118	0.0012972670591061843	-0.0005408912350677104
871.734	-5.1988877326037276e-05	-0.00040643058522867536	0.0012884620423924342	-0.0005374431334583655
877.156	-5.196604106011354e-05	-0.000406024742372969	0.0012881245739161953	-0.0005381733423773185
882.562	-5.1062298820104484e-05	-0.0004030949877168643	0.0012759893805809844	-0.0005335127319645394
887.969	-5.186096515460416e-05	-0.0004066008575585509	0.0012886036280897078	-0.0005377771375826541
893.375	-5.2124021137499795e-05	-0.00040274224301194064	0.0012789290742527438	-0.000535228633559376
898.781	-5.1480317083332635e-05	-0.00040022866847022224	0.0012703729547914222	-0.0005309431350343402
904.187	-5.1981649577563365e-05	-0.00040507675044217307	0.001284103285227369	-0.0005364497738583457
909.594	-5.107260469423751e-05	-0.00040058089901612315	0.0012674328335835871	-0.0005297689112045309
915.0	-0.00019913326015078125	-0.00601461478287027	0.02957217627923012	0.00010270557670614778
920.406	-0.0008222565371405034	-0.004169197379653325	0.2346269859811609	-0.003592744764606554
925.297	-0.0005102391737417226	-0.0009785527777248426	0.30697971050547884	-0.003987850231573363
929.594	-0.0003123493605597462	0.0019436292644156037	0.3249178042792756	-0.0018184298606235946
933.875	-0.0001502321797782027	-0.0008733215642941119	0.34019220812185946	-0.0025264678222681443
938.297	-0.0002442182999667396	0.006998115301228487	0.23601001846278966	-0.0028541525854044805
942.734	-0.00022335527110026401	0.003943251944016584	0.09435798067342459	-0.001121158217979063
947.094	-4.668839873932798e-05	0.0010151637288887388	0.03504227375821323	-0.0007761040772200734
951.594	-2.0112302208242938e-05	5.976025401030981e-05	0.01339962824377449	-0.0005366988744221928
956.125	-4.7490826139040743e-05	-0.0002081784958731645	0.005539901738053174	-0.0005305965418348048
960.844	-4.639843322760995e-05	-0.0003677649705785188	0.002859883433119113	-0.0005627465576630611
965.719	-5.353806748328151e-05	-0.0003943045198843006	0.0018797187218622415	-0.000559622126497647
970.687	-5.307732683863156e-05	-0.0004118202538622858	0.001538652424409273	-0.0005560289561868349
975.797	-5.417085257244102e-05	-0.00041276376894889974	0.001413349602140774	-0.0005543990432952637
981.062	-4.996618058882344e-05	-0.000422449199615198	0.0013729081341406282	-0.0005494567709414772
986.391	-5.2459349318313526e-05	-0.00041376695726519797	0.0013462905744112302	-0.0005485726845146023
991.734	-5.2106937644498996e-05	-0.0004094818885754336	0.001323329374462502	-0.000542950389324369
997.156	-5.173010883143638e-05	-0.00041173042329234976	0.0013219660775601334	-0.000543359105177476
1002.56	-5.162252609013916e-05	-0.00040856561226943757	0.0013096354289820337	-0.0005392210300429118
1007.97	-5.1494027679565764e-05	-0.0004098967159024871	0.001307509265207492	-0.0005401704590896467
1013.37	-5.192127125529412e-05	-0.00040749768151483295	0.0013022813984552885	-0.0005395350193106666
1018.78	-5.1617621809245814e-05	-0.00040619726518853694	0.0012947340503660359	-0.0005376631550315014
1024.2	-5.181937705726733e-05	-0.0004072204416448579	0.001295584847157905	-0.0005380421464821518
1029.61	-5.156446485709576e-05	-0.00040627219263455035	0.0012915633447010408	-0.0005365894168456924
1035.02	-5.1164180270913364e-05	-0.00040469550152641334	0.0012837862672267807	-0.0005337346826804737
1040.42	-5.1429110218229134e-05	-0.0004027238189802727	0.0012789137542100087	-0.0005321738004758775
1045.83	-5.144940317214885e-05	-0.0004071354972495883	0.001289048194353064	-0.0005361463665062351
1051.23	-5.0989892999451325e-05	-0.0004035236249559364	0.0012763458031566069	-0.000531233095126356
1056.66	-5.1233794507799214e-05	-0.00040052722347640505	0.0012706212107397366	-0.00053091825476619
1062.06	-5.056894698597197e-05	-0.0004025105919086959	0.0012722704311541265	-0.0005306369048923999
1067.47	-5.0850153336615164e-05	-0.0004002618633421799	0.001267167547448233	-0.0005289056694492905
1072.87	-5.058229563904836e-05	-0.0003983541935944375	0.0012623482626729625	-0.0005273007644897316
1078.28	-5.08623959336229e-05	-0.00040173338646679827	0.00126839115569865	-0.0005287056627326886
1083.7	-5.005236993915901e-05	-0.00039874918503244065	0.0012594436982154742	-0.0005260069125291092
1089.11	-5.1844387089267067e-05	-0.0003953033453366534	0.0012598114061081276	-0.0005289477843387651
